transaction_id,date,from_account,to_account,amount,currency,description
TX000000,2025-11-02,ACCOUNT_HOLDER,PETROL PUMP,2187.77,USD,PETROL PUMP
TX000001,2025-11-02,ACCOUNT_HOLDER,SWIGGY FOOD ORDER,1180.67,USD,SWIGGY FOOD ORDER
TX000002,2025-11-03,ACCOUNT_HOLDER,FLIPKART PURCHASE,910.68,USD,FLIPKART PURCHASE
TX000003,2025-11-04,ACCOUNT_HOLDER,DMart GROCERY,1402.11,USD,DMart GROCERY
TX000004,2025-11-05,ACCOUNT_HOLDER,PETROL PUMP,2378.09,USD,PETROL PUMP
TX000005,2025-11-05,ACCOUNT_HOLDER,BOOK MY SHOW,2136.21,USD,BOOK MY SHOW
TX000006,2025-11-06,ACCOUNT_HOLDER,SWIGGY FOOD ORDER,454.68,USD,SWIGGY FOOD ORDER
TX000007,2025-11-07,ACCOUNT_HOLDER,SWIGGY FOOD ORDER,501.97,USD,SWIGGY FOOD ORDER
TX000008,2025-11-10,CASH DEPOSIT ATM #2359,ACCOUNT_HOLDER,929968.8,USD,CASH DEPOSIT ATM #2359
TX000009,2025-11-10,CASH DEPOSIT ATM #1719,ACCOUNT_HOLDER,864311.39,USD,CASH DEPOSIT ATM #1719
TX000010,2025-11-10,CASH DEPOSIT ATM #7142,ACCOUNT_HOLDER,860893.38,USD,CASH DEPOSIT ATM #7142
TX000011,2025-11-10,CASH DEPOSIT ATM #4886,ACCOUNT_HOLDER,948520.59,USD,CASH DEPOSIT ATM #4886
TX000012,2025-11-15,RTGS FROM SHELL ENTERPRISES PVT LTD,ACCOUNT_HOLDER,5000000.0,USD,RTGS FROM SHELL ENTERPRISES PVT LTD
TX000013,2025-11-15,ACCOUNT_HOLDER,NEFT TO OFFSHORE TRADING LLC,4950000.0,USD,NEFT TO OFFSHORE TRADING LLC
TX000014,2025-11-20,ACCOUNT_HOLDER,IMPS TO RAJESH KUMAR A/C 4521,1500000.0,USD,IMPS TO RAJESH KUMAR A/C 4521
TX000015,2025-11-20,IMPS FROM PRIYA SHARMA A/C 7823,ACCOUNT_HOLDER,1495000.0,USD,IMPS FROM PRIYA SHARMA A/C 7823
TX000016,2025-11-25,UPI FROM UNKNOWN MERCHANT,ACCOUNT_HOLDER,500000.0,USD,UPI FROM UNKNOWN MERCHANT
TX000017,2025-11-25,ACCOUNT_HOLDER,UPI TO CRYPTO EXCHANGE,500000.0,USD,UPI TO CRYPTO EXCHANGE
TX000018,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 2029,241474.87,USD,RTGS TO TRADING ACCOUNT 2029
TX000019,2025-11-28,RTGS FROM TRADING ACCOUNT 5620,ACCOUNT_HOLDER,276609.1,USD,RTGS FROM TRADING ACCOUNT 5620
TX000020,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 1159,299566.18,USD,RTGS TO TRADING ACCOUNT 1159
TX000021,2025-11-28,RTGS FROM TRADING ACCOUNT 6836,ACCOUNT_HOLDER,263400.27,USD,RTGS FROM TRADING ACCOUNT 6836
