transaction_id,date,from_account,to_account,amount,currency,description
TX000000,2025-11-02,ACCOUNT_HOLDER,BOOK MY SHOW,1131.31,USD,BOOK MY SHOW
TX000001,2025-11-03,ACCOUNT_HOLDER,NETFLIX SUBSCRIPTION,1759.17,USD,NETFLIX SUBSCRIPTION
TX000002,2025-11-03,ACCOUNT_HOLDER,SWIGGY FOOD ORDER,2054.93,USD,SWIGGY FOOD ORDER
TX000003,2025-11-04,ACCOUNT_HOLDER,NETFLIX SUBSCRIPTION,185.03,USD,NETFLIX SUBSCRIPTION
TX000004,2025-11-05,ACCOUNT_HOLDER,FLIPKART PURCHASE,1686.66,USD,FLIPKART PURCHASE
TX000005,2025-11-05,ACCOUNT_HOLDER,DMart GROCERY,1590.92,USD,DMart GROCERY
TX000006,2025-11-05,ACCOUNT_HOLDER,UBER RIDE,463.68,USD,UBER RIDE
TX000007,2025-11-07,ACCOUNT_HOLDER,BOOK MY SHOW,1721.98,USD,BOOK MY SHOW
TX000008,2025-11-10,CASH DEPOSIT ATM #6578,ACCOUNT_HOLDER,854048.78,USD,CASH DEPOSIT ATM #6578
TX000009,2025-11-10,CASH DEPOSIT ATM #3092,ACCOUNT_HOLDER,989280.01,USD,CASH DEPOSIT ATM #3092
TX000010,2025-11-10,CASH DEPOSIT ATM #6222,ACCOUNT_HOLDER,852544.47,USD,CASH DEPOSIT ATM #6222
TX000011,2025-11-10,CASH DEPOSIT ATM #2126,ACCOUNT_HOLDER,928862.24,USD,CASH DEPOSIT ATM #2126
TX000012,2025-11-15,RTGS FROM SHELL ENTERPRISES PVT LTD,ACCOUNT_HOLDER,5000000.0,USD,RTGS FROM SHELL ENTERPRISES PVT LTD
TX000013,2025-11-15,ACCOUNT_HOLDER,NEFT TO OFFSHORE TRADING LLC,4950000.0,USD,NEFT TO OFFSHORE TRADING LLC
TX000014,2025-11-20,ACCOUNT_HOLDER,IMPS TO RAJESH KUMAR A/C 4521,1500000.0,USD,IMPS TO RAJESH KUMAR A/C 4521
TX000015,2025-11-20,IMPS FROM PRIYA SHARMA A/C 7823,ACCOUNT_HOLDER,1495000.0,USD,IMPS FROM PRIYA SHARMA A/C 7823
TX000016,2025-11-25,UPI FROM UNKNOWN MERCHANT,ACCOUNT_HOLDER,500000.0,USD,UPI FROM UNKNOWN MERCHANT
TX000017,2025-11-25,ACCOUNT_HOLDER,UPI TO CRYPTO EXCHANGE,500000.0,USD,UPI TO CRYPTO EXCHANGE
TX000018,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 3927,378380.7,USD,RTGS TO TRADING ACCOUNT 3927
TX000019,2025-11-28,RTGS FROM TRADING ACCOUNT 9581,ACCOUNT_HOLDER,218991.57,USD,RTGS FROM TRADING ACCOUNT 9581
TX000020,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 6240,276345.49,USD,RTGS TO TRADING ACCOUNT 6240
TX000021,2025-11-28,RTGS FROM TRADING ACCOUNT 9422,ACCOUNT_HOLDER,375369.2,USD,RTGS FROM TRADING ACCOUNT 9422
