transaction_id,date,from_account,to_account,amount,currency,description
TX000000,2025-11-03,ACCOUNT_HOLDER,CAFE COFFEE DAY,1227.82,USD,CAFE COFFEE DAY
TX000001,2025-11-03,ACCOUNT_HOLDER,UBER RIDE,2029.05,USD,UBER RIDE
TX000002,2025-11-04,ACCOUNT_HOLDER,NETFLIX SUBSCRIPTION,971.58,USD,NETFLIX SUBSCRIPTION
TX000003,2025-11-04,ACCOUNT_HOLDER,FLIPKART PURCHASE,1010.34,USD,FLIPKART PURCHASE
TX000004,2025-11-04,ACCOUNT_HOLDER,UBER RIDE,577.56,USD,UBER RIDE
TX000005,2025-11-05,ACCOUNT_HOLDER,UBER RIDE,1097.48,USD,UBER RIDE
TX000006,2025-11-06,ACCOUNT_HOLDER,DMart GROCERY,2292.27,USD,DMart GROCERY
TX000007,2025-11-06,ACCOUNT_HOLDER,DMart GROCERY,1824.87,USD,DMart GROCERY
TX000008,2025-11-10,CASH DEPOSIT ATM #5757,ACCOUNT_HOLDER,985353.19,USD,CASH DEPOSIT ATM #5757
TX000009,2025-11-10,CASH DEPOSIT ATM #8697,ACCOUNT_HOLDER,884396.79,USD,CASH DEPOSIT ATM #8697
TX000010,2025-11-10,CASH DEPOSIT ATM #3034,ACCOUNT_HOLDER,905898.51,USD,CASH DEPOSIT ATM #3034
TX000011,2025-11-10,CASH DEPOSIT ATM #9325,ACCOUNT_HOLDER,882282.43,USD,CASH DEPOSIT ATM #9325
TX000012,2025-11-15,RTGS FROM SHELL ENTERPRISES PVT LTD,ACCOUNT_HOLDER,5000000.0,USD,RTGS FROM SHELL ENTERPRISES PVT LTD
TX000013,2025-11-15,ACCOUNT_HOLDER,NEFT TO OFFSHORE TRADING LLC,4950000.0,USD,NEFT TO OFFSHORE TRADING LLC
TX000014,2025-11-20,ACCOUNT_HOLDER,IMPS TO RAJESH KUMAR A/C 4521,1500000.0,USD,IMPS TO RAJESH KUMAR A/C 4521
TX000015,2025-11-20,IMPS FROM PRIYA SHARMA A/C 7823,ACCOUNT_HOLDER,1495000.0,USD,IMPS FROM PRIYA SHARMA A/C 7823
TX000016,2025-11-25,UPI FROM UNKNOWN MERCHANT,ACCOUNT_HOLDER,500000.0,USD,UPI FROM UNKNOWN MERCHANT
TX000017,2025-11-25,ACCOUNT_HOLDER,UPI TO CRYPTO EXCHANGE,500000.0,USD,UPI TO CRYPTO EXCHANGE
TX000018,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 1703,365189.04,USD,RTGS TO TRADING ACCOUNT 1703
TX000019,2025-11-28,RTGS FROM TRADING ACCOUNT 6230,ACCOUNT_HOLDER,225322.52,USD,RTGS FROM TRADING ACCOUNT 6230
TX000020,2025-11-28,ACCOUNT_HOLDER,RTGS TO TRADING ACCOUNT 2645,266367.93,USD,RTGS TO TRADING ACCOUNT 2645
TX000021,2025-11-28,RTGS FROM TRADING ACCOUNT 8167,ACCOUNT_HOLDER,377248.56,USD,RTGS FROM TRADING ACCOUNT 8167
