transaction_id,date,from_account,to_account,amount,currency,description
TX000000,2025-11-02,ACCOUNT_HOLDER,STARBUCKS,104.3,USD,STARBUCKS
TX000001,2025-11-03,ACCOUNT_HOLDER,NETFLIX,47.19,USD,NETFLIX
TX000002,2025-11-03,ACCOUNT_HOLDER,UBER RIDE,26.46,USD,UBER RIDE
TX000003,2025-11-04,ACCOUNT_HOLDER,AMAZON PURCHASE,52.98,USD,AMAZON PURCHASE
TX000004,2025-11-05,ACCOUNT_HOLDER,NETFLIX,149.62,USD,NETFLIX
TX000005,2025-11-10,CASH DEPOSIT ATM #5421,ACCOUNT_HOLDER,9757.94,USD,CASH DEPOSIT ATM #5421
TX000006,2025-11-10,CASH DEPOSIT ATM #5421,ACCOUNT_HOLDER,9472.01,USD,CASH DEPOSIT ATM #5421
TX000007,2025-11-10,CASH DEPOSIT ATM #5421,ACCOUNT_HOLDER,9772.63,USD,CASH DEPOSIT ATM #5421
TX000008,2025-11-15,WIRE TRANSFER FROM SHELL CORP LLC,ACCOUNT_HOLDER,50000.0,USD,WIRE TRANSFER FROM SHELL CORP LLC
TX000009,2025-11-15,ACCOUNT_HOLDER,WIRE TRANSFER TO OFFSHORE HOLDINGS,49800.0,USD,WIRE TRANSFER TO OFFSHORE HOLDINGS
